Source,Date (local),Time (local),Latitude,Longitude,Depth,Magn. (Ml),Epicenter error (km),Depth error (km),Intensity
INPRES web,20200924,16:35:31.0,-38.307,-68.531,7,3.7,20,20,III a IV - Anhelo III - Sauzal Bonito
INPRES web,20201011,08:10:44.0,-38.821,-69.214,9,3.4,20,20,
Vazquez et al. & @RedGeoChile,20201027,13:32:25.0,-38.561,-68.935,11.3,4.3,20,20,16 km to the ENE of Sauzal Bonito. IV-V Sauzal Bonito. III-IV Anhelo 
Vazquez et al. & @RedGeoChile,20201123,04:54:38.0,-38.208,-68.682,6.7,3,20,20,19 km to the NE of Anhelo. III Yacimiento Medano of la Mora 
Vazquez et al. & @RedGeoChile,20201124,05:49:25.0,-38.186,-68.624,7.2,3.5,20,20,23 km to the NE of Anhelo. III-IV Yacimiento Medano of la Mora 
INPRES conf. 01,20201127,05:16:51.5,-38.503,-69.034,7.5,1.9,20,20,
INPRES web,20201127,08:34:20.0,-38.432,-69.083,3,2.5,20,20,
INPRES web,20201128,22:09:10.0,-38.174,-68.583,8,4.1,20,20,III a IV - Anhelo II a III – City of Neuquen. II a III - Rincon of los Sauces
INPRES web,20201222,05:46:21.0,-38.331,-68.514,8,2.6,20,20,
INPRES web,20201222,13:14:10.0,-38.367,-68.554,4,2.7,20,20,II a III - Medano de la Mora 
INPRES conf. 01,20201222,22:50:02.0,-38.383,-68.605,7.5,1.9,20,20,
INPRES conf. 01,20201222,23:18:28.9,-37.974,-68.829,7.5,1.9,20,20,
INPRES conf. 01,20201223,00:27:00.1,-38.396,-68.586,7.5,1.9,20,20,
INPRES web,20201223,04:54:38.0,-38.363,-68.539,4,2.7,20,20,
INPRES conf. 01,20201223,09:12:52.9,-38.425,-68.581,7.5,1.9,20,20,
INPRES conf. 01,20201223,20:39:35.8,-38.372,-68.602,7.5,1.9,20,20,
INPRES conf. 01,20201224,04:38:00.5,-38.353,-68.555,7.5,1.9,20,20,
INPRES web,20201224,05:49:24.0,-38.199,-68.643,3,3,20,20,
INPRES conf. 01,20201224,09:06:26.1,-38.346,-68.571,7.5,1.9,20,20,
INPRES web,20201227,05:42:20.0,-38.309,-68.453,4,2.7,20,20,
INPRES web,20201228,02:27:26.0,-39.387,-69.763,10,2.9,20,20,
INPRES conf. 01,20201230,21:31:22.8,-38.316,-68.513,7.5,1.9,20,20,
INPRES conf. 01,20201231,03:49:42.3,-38.595,-69.041,7.5,1.9,20,20,
INPRES conf. 01,20201231,21:36:57.9,-38.386,-68.522,7.5,1.9,20,20,
INPRES conf. 01,20210102,01:11:11.4,-38.198,-68.479,7.5,1.9,20,20,
INPRES conf. 01,20210102,22:23:22.1,-38.544,-69.142,7.5,1.9,20,20,
INPRES conf. 01,20210105,01:11:50.4,-38.222,-68.501,7.5,1.9,20,20,
INPRES conf. 01,20210105,23:03:56.2,-38.275,-68.527,7.5,1.9,20,20,
INPRES web,20210109,08:39:30.0,-38.514,-69.218,2,2.7,20,20,III - Sauzal Bonito 
INPRES conf. 01,20210111,22:09:58.2,-38.537,-69.118,7.5,1.9,20,20,
INPRES conf. 01,20210125,04:47:15.1,-38.506,-69.199,7.5,1.9,20,20,
INPRES conf. 01,20210125,23:46:52.3,-38.575,-69.087,7.5,1.9,20,20,
INPRES conf. 01,20210127,03:19:16.1,-38.533,-69.136,7.5,1.9,20,20,
INPRES conf. 01,20210128,15:06:56.8,-38.511,-69.152,7.5,1.9,20,20,
INPRES conf. 01,20210210,16:44:27.7,-38.504,-69.203,7.5,1.9,20,20,
INPRES conf. 01,20210213,03:50:55.4,-38.535,-69.135,7.5,1.9,20,20,
INPRES web,20210220,20:54:41.0,-38.354,-69.045,13,3,20,20,
INPRES web,20210223,17:20:26.0,-38.372,-69.033,4,2.9,20,20,
INPRES web,20210225,00:25:23.0,-37.457,-69.367,3,3.7,20,20,II a III - Rincon of los Sauces 
INPRES conf. 01,20210225,06:57:56.7,-38.505,-69.198,7.5,1.9,20,20,
INPRES web,20210316,12:42:14.0,-38.348,-69.031,3,2.6,20,20,
INPRES web,20210328,07:26:34.0,-37.536,-69.454,3,2.8,20,20,
INPRES conf. 01,20210407,17:54:54.9,-38.561,-69.207,7.5,1.9,20,20,
INPRES web,20210408,06:00:26.0,-37.497,-69.293,4,2.5,20,20,
INPRES conf. 01,20210409,09:45:59.8,-38.551,-69.241,7.5,1.9,20,20,
INPRES conf. 01,20210410,22:32:57.2,-38.573,-69.205,7.5,1.9,20,20,
INPRES conf. 01,20210421,23:58:04.0,-38.569,-69.366,7.5,1.9,20,20,
