ID,X,Y,SIGLA,SIGLA_MOD,OBS,TYPE,SUBTYPE,FORM_PROD,PROF2,PROF,HIGH,CLAS,SUBCLAS,FLUID,START_DRIL,END_DRILL,START_TERM,END_TERM,FR_fr_quan,FR_sand_mt,FR_inj_w_m,FR_inj_co2,FR_w+s,FR_fr_star,FR_fr_end
96835,-68.603679000000000,-38.092191999999997,YPF.Nq.LACh-45(h),YPF.NQ.LACH-45,,NO CONVENCIONAL,SHALE,vaca muerta,,4055,350,EXPLOTACION,DESARROLLO,Petrolifero,25/05/2017,16/06/2017,31/07/2017,14/12/2017,16,3814,23018,0,24543,08/05/17,08/19/17
96078,-68.548060000000007,-38.371363000000002,YPF.Nq.SOil-358(h),YPF.NQ.SOIL-358,,NO CONVENCIONAL,SHALE,vaca muerta,,4860,465,EXPLOTACION,DESARROLLO,Petrolifero,25/07/2016,10/08/2016,27/12/2016,10/04/2017,16,3758,18761,0,20264,12/30/16,03/13/17
93637,-68.597521999999998,-38.351973999999998,YPF.Nq.SOil-239(h),YPF.NQ.SOIL-239,,NO CONVENCIONAL,SHALE,vaca muerta,,4631,436,EXPLOTACION,DESARROLLO,Petrolifero,30/04/2015,29/05/2015,15/07/2015,24/08/2015,16,3480,12813,0,14205,07/16/15,08/09/15
95251,-69.228022999999993,-37.971738000000002,YPF.Nq.EOr-79(h),YPF.NQ.EOR-79,,NO CONVENCIONAL,SHALE,vaca muerta,,4290,391,EXPLOTACION,DESARROLLO,Otro tipo,01/02/2016,01/03/2016,18/06/2016,23/08/2016,16,3301,23746,0,25067,06/20/16,07/05/16
95252,-69.227789999999999,-37.971732000000003,YPF.Nq.EOr-80(h),YPF.NQ.EOR-80,,NO CONVENCIONAL,SHALE,vaca muerta,,4290,391,EXPLOTACION,DESARROLLO,Otro tipo,02/03/2016,21/03/2016,16/06/2016,18/07/2016,16,3319,23636,0,24964,06/19/16,07/04/16
95250,-69.227999999999994,-37.972548000000003,YPF.Nq.EOr-78(h),YPF.NQ.EOR-78,,NO CONVENCIONAL,SHALE,vaca muerta,,4304,391,EXPLOTACION,DESARROLLO,Otro tipo,13/01/2016,17/02/2016,04/07/2016,23/08/2016,16,3293,24121,0,25438,07/09/16,07/27/16
95253,-69.227793000000005,-37.972551000000003,YPF.Nq.EOr-81(h),YPF.NQ.EOR-81,,NO CONVENCIONAL,SHALE,vaca muerta,,4444,391,EXPLOTACION,DESARROLLO,Otro tipo,17/02/2016,17/03/2016,03/07/2016,23/08/2016,16,3331,23662,0,24995,07/13/16,07/27/16
97778,-68.218292000000005,-38.723523000000000,YPF.Nq.RN-2026(d),YPF.NQ.RN-2026,,NO CONVENCIONAL,TIGHT,punta rosada,,3975,340,EXPLOTACION,DESARROLLO,Gasifero,01/06/2018,11/06/2018,04/09/2018,28/09/2018,16,1314,7071,0,7597,09/07/18,09/16/18
101712,-69.424400000000006,-38.565399999999997,PAM.Nq.M-2046(h),PAM.NQ.M-2046,,NO CONVENCIONAL,TIGHT,mulichinco,,3408,647,EXPLOTACION,DESARROLLO,Gasifero,03/10/2022,06/11/2022,22/12/2022,31/12/2022,16,2085,11582,0,12415,12/22/22,12/29/22
101281,-69.048761999999996,-38.306916999999999,PLU.Nq.LCa-3121(h),PLU.NQ.LCA-3121,,NO CONVENCIONAL,SHALE,vaca muerta,,5391,314,EXPLOTACION,DESARROLLO,Gasifero,05/02/2022,05/04/2022,17/04/2022,01/06/2022,16,5834,43092,0,45426,04/17/22,06/01/22
